,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,12:18,Bears,Cade McNown 1 yard rush (Paul Edinger kick),7,0
1,1.0,4:38,Bears,Paul Edinger 19 yard field goal,10,0
2,2.0,9:07,Bears,Marcus Robinson 68 yard pass from Cade McNown (Paul Edinger kick),17,0
3,2.0,4:48,Packers,Ryan Longwell 42 yard field goal,17,3
4,3.0,5:35,Bears,Marcus Robinson 58 yard pass from Cade McNown (Paul Edinger kick),24,3
5,3.0,2:36,Packers,Antonio Freeman 14 yard pass from Brett Favre (Ryan Longwell kick),24,10
6,4.0,8:44,Packers,Bill Schroeder 17 yard pass from Brett Favre (Ryan Longwell kick),24,17
7,4.0,3:15,Bears,Paul Edinger 47 yard field goal,27,17
8,4.0,1:58,Packers,Bill Schroeder 17 yard pass from Brett Favre (Ryan Longwell kick),27,24
