,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,George Blanda 28 yard field goal,0,3
1,2.0,Bears,Julie Rykovich 1 yard rush (Johnny Lujack kick),0,10
2,3.0,Packers,Joe Ethridge 22 yard field goal,3,10
3,4.0,Bears,Johnny Lujack 20 yard rush (Johnny Lujack kick),3,17
4,4.0,Bears,Julie Rykovich 15 yard rush (Johnny Lujack kick),3,24
