,Quarter,Tm,Detail,CHI,GNB
0,1,Bears,Bob Thomas 42 yard field goal,3,0
1,2,Packers,Chester Marcol 41 yard field goal,3,3
2,2,Packers,Chester Marcol 46 yard field goal,3,6
3,3,Bears,Bob Thomas 34 yard field goal,6,6
4,OT,Packers,Chester Marcol 25 yard blocked field goal return,6,12
