,Quarter,Tm,Detail,GNB,MIN
0,1.0,Vikings,Fuad Reveiz 29 yard field goal,0,3
1,2.0,Vikings,Fuad Reveiz 32 yard field goal,0,6
2,3.0,Packers,Tiger Greene 36 yard blocked punt return (Chris Jacke kick),7,6
3,3.0,Vikings,Fuad Reveiz 41 yard field goal,7,9
4,3.0,Vikings,Anthony Carter 56 yard pass from Rich Gannon (Fuad Reveiz kick),7,16
5,3.0,Vikings,Al Noga defensive fumble recovery in end zone (Fuad Reveiz kick),7,23
