,Quarter,Time,Tm,Detail,CLE,PIT
0,1,7:48,Browns,Seth Devalve 12 yard pass from Robert Griffin III (Cody Parkey kick),7,0
1,2,9:21,Browns,Gary Barnidge 4 yard pass from Robert Griffin III (Cody Parkey kick),14,0
2,2,0:31,Steelers,DeAngelo Williams 11 yard pass from Landry Jones (Chris Boswell kick),14,7
3,4,13:21,Steelers,DeAngelo Williams 1 yard rush (Chris Boswell kick),14,14
4,4,5:14,Steelers,Demarcus Ayers 11 yard pass from Landry Jones (Chris Boswell kick),14,21
5,4,3:28,Browns,George Atkinson 5 yard rush (Cody Parkey kick),21,21
6,OT,7:17,Browns,Cody Parkey 34 yard field goal,24,21
7,OT,2:57,Steelers,Cobi Hamilton 26 yard pass from Landry Jones,24,27
