,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,9:17,Jets,Dustin Keller 24 yard pass from Mark Sanchez (Nick Folk kick),7,0
1,2.0,13:34,Jets,Dustin Keller 12 yard pass from Mark Sanchez (Nick Folk kick),14,0
2,2.0,9:13,Dolphins,Anthony Fasano 3 yard pass from Chad Henne (Dan Carpenter kick),14,7
3,2.0,1:02,Dolphins,Dan Carpenter 44 yard field goal,14,10
4,3.0,8:47,Dolphins,Brandon Marshall 11 yard pass from Chad Henne (Dan Carpenter kick),14,17
5,3.0,8:29,Jets,Braylon Edwards 67 yard pass from Mark Sanchez (Nick Folk kick),21,17
6,3.0,5:14,Dolphins,Dan Carpenter 20 yard field goal,21,20
7,4.0,12:55,Jets,Nick Folk 30 yard field goal,24,20
8,4.0,6:42,Dolphins,Dan Carpenter 50 yard field goal,24,23
9,4.0,1:55,Jets,LaDainian Tomlinson 1 yard rush (Nick Folk kick),31,23
