,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,,Ravens,"Safety, Burnett sacked McNair in end zone",0,2
1,1.0,,Oilers,Steve McNair 40 yard rush (run failed),6,2
2,2.0,,Oilers,Al Del Greco 26 yard field goal,9,2
3,3.0,,Oilers,Al Del Greco 29 yard field goal,12,2
4,3.0,,Ravens,Matt Stover 21 yard field goal,12,5
5,4.0,,Ravens,Matt Stover 45 yard field goal,12,8
