,Quarter,Tm,Detail,GNB,DET
0,2.0,Lions,Freddie Scott 8 yard pass from Gary Danielson (Eddie Murray kick),0,7
1,2.0,Lions,Eddie Murray 41 yard field goal,0,10
2,3.0,Packers,Jan Stenerud 33 yard field goal,3,10
3,4.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),3,17
4,4.0,Lions,Dexter Bussey 8 yard rush (Eddie Murray kick),3,24
