,Quarter,Time,Tm,Detail,TAM,CIN
0,1,6:50,Bengals,Neil Rackers 23 yard field goal,0,3
1,2,9:17,Buccaneers,Todd Yoder 11 yard blocked punt return (Martin Gramatica kick),7,3
2,3,11:54,Buccaneers,Martin Gramatica 38 yard field goal,10,3
3,4,12:29,Buccaneers,Martin Gramatica 48 yard field goal,13,3
4,4,4:29,Bengals,Neil Rackers 41 yard field goal,13,6
5,4,0:08,Bengals,Corey Dillon 6 yard pass from Jon Kitna (Neil Rackers kick),13,13
6,OT,9:54,Buccaneers,Martin Gramatica 21 yard field goal,16,13
