,Quarter,Tm,Detail,SFO,NWE
0,1.0,Patriots,Greg Baty 8 yard pass from Tony Eason (Tony Franklin kick),0,7
1,1.0,49ers,Joe Cribbs 3 yard rush (Ray Wersching kick),7,7
2,1.0,Patriots,Tony Franklin 41 yard field goal,7,10
3,2.0,49ers,Roger Craig 1 yard rush,13,10
4,2.0,49ers,Ray Wersching 46 yard field goal,16,10
5,3.0,Patriots,Tony Collins 4 yard rush (Tony Franklin kick),16,17
6,4.0,49ers,Ray Wersching 31 yard field goal,19,17
7,4.0,49ers,Ray Wersching 20 yard field goal,22,17
8,4.0,49ers,Joe Cribbs 10 yard rush (Ray Wersching kick),29,17
9,4.0,Patriots,Stanley Morgan 15 yard pass from Tony Eason (Tony Franklin kick),29,24
