,Quarter,Time,Tm,Detail,JAX,WAS
0,1.0,,Jaguars,Mike Hollis 30 yard field goal,3,0
1,1.0,,Jaguars,Mike Hollis 42 yard field goal,6,0
2,2.0,,Jaguars,Mike Hollis 25 yard field goal,9,0
3,2.0,,Redskins,Leslie Shepherd 10 yard pass from Gus Frerotte (Scott Blanton kick),9,7
4,2.0,,Redskins,Jamie Asher 8 yard pass from Gus Frerotte (Scott Blanton kick),9,14
5,3.0,,Jaguars,Mike Hollis 47 yard field goal,12,14
6,4.0,,Redskins,Scott Blanton 41 yard field goal,12,17
7,4.0,,Redskins,Leslie Shepherd 13 yard pass from Gus Frerotte (Scott Blanton kick),12,24
