,Quarter,Time,Tm,Detail,GNB,SFO
0,1.0,7:49,Packers,Craig Newsome 31 yard defensive fumble return (Chris Jacke kick),7,0
1,1.0,7:49,Packers,Keith Jackson 3 yard pass from Brett Favre (Chris Jacke kick),14,0
2,2.0,7:49,Packers,Mark Chmura 13 yard pass from Brett Favre (Chris Jacke kick),21,0
3,2.0,7:49,49ers,Jeff Wilkins 21 yard field goal,21,3
4,3.0,7:49,49ers,Steve Young 1 yard rush (Jeff Wilkins kick),21,10
5,3.0,7:49,Packers,Chris Jacke 27 yard field goal,24,10
6,4.0,7:49,Packers,Chris Jacke 26 yard field goal,27,10
7,4.0,7:49,49ers,Derek Loville 2 yard rush (Jeff Wilkins kick),27,17
