,Quarter,Tm,Detail,SFO,BAL
0,1.0,49ers,Y.A. Tittle 5 yard rush (Gordie Soltau kick),7,0
1,2.0,Colts,Gary Kerkorian 1 yard rush (Gary Kerkorian kick),7,7
2,3.0,Colts,Bert Rechichar 48 yard field goal,7,10
3,4.0,49ers,Gordie Soltau 23 yard field goal,10,10
4,4.0,49ers,Gordie Soltau 13 yard field goal,13,10
5,4.0,Colts,Royce Womble 78 yard pass from Gary Kerkorian (Gary Kerkorian kick),13,17
