,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,Sherman Smith 17 yard rush (Efren Herrera kick),0,7
1,2.0,Seahawks,Sherman Smith 1 yard rush (Efren Herrera kick),0,14
2,2.0,Broncos,Craig Morton 2 yard rush (Jim Turner kick),7,14
3,2.0,Broncos,Haven Moses 7 yard pass from Craig Morton,13,14
4,2.0,Broncos,Jim Jensen 2 yard rush (Jim Turner kick),20,14
5,3.0,Seahawks,Steve Largent 35 yard pass from Jim Zorn (Efren Herrera kick),20,21
6,3.0,Broncos,Jim Turner 29 yard field goal,23,21
7,4.0,Seahawks,Steve Largent 43 yard pass from Jim Zorn (Efren Herrera kick),23,28
