,Quarter,Tm,Detail,RAM,ATL
0,1.0,Falcons,Bob Etter 35 yard field goal,0,3
1,2.0,Rams,Jack Pardee 29 yard interception return (Bruce Gossett kick),7,3
2,3.0,Rams,Bruce Gossett 12 yard field goal,10,3
3,3.0,Falcons,Ray Ogden 15 yard pass from Bob Berry (Bob Etter kick),10,10
4,4.0,Rams,Jack Snow 10 yard pass from Roman Gabriel (Bruce Gossett kick),17,10
