,Quarter,Tm,Detail,CLE,SEA
0,1.0,Seahawks,Sherman Smith 1 yard rush (Efren Herrera kick),0,7
1,1.0,Seahawks,David Sims 9 yard rush (Efren Herrera kick),0,14
2,2.0,Seahawks,Steve Largent 27 yard pass from Jim Zorn (Efren Herrera kick),0,21
3,2.0,Seahawks,"Safety, Raible tackled Evans out of end zone",0,23
4,2.0,Browns,Dave Logan 7 yard pass from Brian Sipe (Don Cockroft kick),7,23
5,2.0,Browns,Don Cockroft 40 yard field goal,10,23
6,3.0,Seahawks,David Sims 19 yard rush (Efren Herrera kick),10,30
7,3.0,Browns,Greg Pruitt 26 yard pass from Brian Sipe (Don Cockroft kick),17,30
8,4.0,Seahawks,Efren Herrera 38 yard field goal,17,33
9,4.0,Seahawks,David Sims 9 yard rush (Efren Herrera kick),17,40
10,4.0,Browns,Dave Logan 5 yard pass from Brian Sipe (Don Cockroft kick),24,40
11,4.0,Seahawks,Keith Simpson 40 yard interception return (Efren Herrera kick),24,47
