,Quarter,Tm,Detail,SEA,DET
0,1.0,Seahawks,Steve Largent 19 yard pass from Jeff Kemp (Norm Johnson kick),7,0
1,1.0,Seahawks,Steve Largent 21 yard pass from Jeff Kemp (Norm Johnson kick),14,0
2,1.0,Seahawks,Steve Largent 2 yard pass from Jeff Kemp (Norm Johnson kick),21,0
3,2.0,Lions,Danny Bradley 5 yard pass from Todd Hons (Mike Prindle kick),21,7
4,2.0,Seahawks,Jimmy Teal 12 yard pass from Jeff Kemp (pass failed),27,7
5,2.0,Seahawks,Norm Johnson 43 yard field goal,30,7
6,3.0,Seahawks,Michael Morton 1 yard rush (Norm Johnson kick),37,7
7,4.0,Lions,Danny Bradley 3 yard pass from Todd Hons (Mike Prindle kick),37,14
