,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Bert Rechichar 48 yard field goal,3,0
1,2.0,49ers,Clyde Conner 8 yard pass from Y.A. Tittle (Gordie Soltau kick),3,7
2,2.0,Colts,Steve Myhra 28 yard field goal,6,7
3,3.0,49ers,J.D. Smith 1 yard rush (Gordie Soltau kick),6,14
4,4.0,49ers,J.D. Smith 1 yard rush (Gordie Soltau kick),6,21
5,4.0,Colts,Jim Mutscheller 38 yard pass from Johnny Unitas,12,21
