,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,8:53,Falcons,Matt Bryant 34 yard field goal,3,0
1,1.0,5:25,Saints,Pierre Thomas 4 yard rush (John Kasay kick),3,7
2,1.0,1:31,Falcons,Julio Jones 21 yard pass from Matt Ryan (Matt Bryant kick),10,7
3,2.0,12:32,Saints,Marques Colston 8 yard pass from Drew Brees (John Kasay kick),10,14
4,2.0,0:24,Saints,Jimmy Graham 9 yard pass from Drew Brees (John Kasay kick),10,21
5,3.0,8:28,Saints,Robert Meachem 24 yard pass from Drew Brees (John Kasay kick),10,28
6,3.0,4:41,Falcons,Matt Bryant 51 yard field goal,13,28
7,3.0,3:04,Saints,John Kasay 29 yard field goal,13,31
8,4.0,12:43,Falcons,Matt Bryant 30 yard field goal,16,31
9,4.0,11:09,Saints,Malcolm Jenkins 30 yard defensive fumble return (John Kasay kick),16,38
10,4.0,2:51,Saints,Darren Sproles 9 yard pass from Drew Brees (John Kasay kick),16,45
