,Quarter,Time,Tm,Detail,WAS,TEN
0,2.0,,Oilers,Steve McNair 2 yard rush (Al Del Greco kick),0,7
1,2.0,,Oilers,Eddie George 3 yard rush (Al Del Greco kick),0,14
2,3.0,,Oilers,Rodney Thomas 5 yard rush (Al Del Greco kick),0,21
3,3.0,,Redskins,Henry Ellard 13 yard pass from Gus Frerotte (Scott Blanton kick),7,21
4,3.0,,Redskins,Henry Ellard 10 yard pass from Gus Frerotte (Scott Blanton kick),14,21
5,4.0,,Oilers,Eddie George 6 yard rush (Al Del Greco kick),14,28
