,Quarter,Tm,Detail,TOL,CAN
0,1.0,Bulldogs,Ben Jones unknown yard rush (Pete Henry kick),0,7
1,1.0,Bulldogs,Ben Jones 11 yard rush (Pete Henry kick),0,14
2,3.0,Bulldogs,Lou Smyth unknown yard rush (Pete Henry kick),0,21
3,4.0,Bulldogs,Lou Smyth unknown yard rush (Pete Henry kick),0,28
